#EC;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
1062425984;NUMERO_LOGICO;SEM VALOR;78572647;1062425984
1062648592;NUMERO_LOGICO;SEM VALOR;78364893;1062648592
1062748864;NUMERO_LOGICO;SEM VALOR;78963152;1062748864
1062882544;NUMERO_LOGICO;SEM VALOR;78862486;1062882544
1062960464;NUMERO_LOGICO;SEM VALOR;79038078;1062960464
1062972128;NUMERO_LOGICO;SEM VALOR;78656085;1062972128
1063230672;NUMERO_LOGICO;SEM VALOR;78568646;1063230672
1063454880;NUMERO_LOGICO;SEM VALOR;79046824;1063454880
1063676832;NUMERO_LOGICO;SEM VALOR;78743337;1063676832
1063703872;NUMERO_LOGICO;SEM VALOR;78719691;1063703872
1063706960;NUMERO_LOGICO;SEM VALOR;78513622;1063706960
1063763760;NUMERO_LOGICO;SEM VALOR;78839621;1063763760
1064041040;NUMERO_LOGICO;SEM VALOR;78841058;1064041040
1064268576;NUMERO_LOGICO;SEM VALOR;78275511;1064268576
